team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         25   57 19730 2876 6668  333  933 1374 1811 1028 3518 1559  634 1294  387 1863  7459  25   2   5
BostonCeltics        36   46 19830 2773 6485  592 1633 1621 2190  897 3264 1708  769 1238  336 1952  7759  39   3   1
CharlotteHornets     46   36 19880 2800 6501  340  984 1599 2146 1033 3641 1900  665 1124  455 1753  7539  39   2   4
ChicagoBulls         15   67 19855 2721 6411  329  950 1410 1909  926 3186 1810  675 1197  379 1902  7181  25   2   6
ClevelandCavaliers   30   52 19830 2890 6532  220  659 1561 2040 1015 3455 1708  642 1297  436 1904  7561  54   7  10
DallasMavericks      53   29 19805 3085 6716  517 1357 1552 1954  831 3402 1740  618 1094  492 1907  8239  43   3   2
DenverNuggets        40   42 19780 2979 6877  512 1444 1448 1964 1044 3627 1970  552 1092  538 1820  7918  45   4   7
DetroitPistons       32   50 19855 2919 6880  389 1112 1610 2233 1108 3734 1629  613 1265  447 1955  7837  36   2   5
GSWarriors           17   65 19780 2937 7175  282  964 1428 2024 1345 3730 1788  742 1253  410 1727  7584  30   1   4
HoustonRockets       45   37 19830 2943 6494  504 1412 1582 2086  919 3443 1613  587 1136  358 1657  7972  50   2   1
IndianaPacers        41   41 19980 2828 6431  396 1159 1539 2009  921 3516 1763  563 1173  487 1926  7591  47   5   9
LAClippers           31   51 20030 2896 6467  360 1063 1429 2061  962 3521 1585  490 1212  513 1775  7581  42   5   4
LALakers             56   26 19905 3109 6685  439 1275 1594 2333 1085 3668 1888  564 1137  490 1872  8251  40   5   7
MiamiHeat            50   32 19880 2694 6258  478 1384 1423 1874  813 3248 1630  633 1076  304 1726  7289  43   1  10
MilwaukeeBucks       52   30 19780 3112 6798  562 1481 1474 1874  975 3475 1844  672 1082  386 1928  8260  44   3   8
MinnesotaT-wolves    47   35 19830 3148 6871  322  901 1364 1737 1002 3472 2083  682 1105  456 1900  7982  29   1   7
NJNets               26   56 19730 2781 6550  361 1084 1629 2146  909 3246 1603  649 1139  407 1982  7552  29   1   5
NYKnicks             48   34 19905 2755 6198  391 1115 1374 1727  773 3297 1520  545 1132  346 1863  7275  31   3   5
OrlandoMagic         43   39 19955 3013 6873  490 1346 1476 2068 1069 3519 1803  674 1216  481 2071  7992  35   4   7
Philadelphia76ers    56   26 19855 2902 6487  262  803 1697 2277 1075 3675 1692  690 1231  408 1673  7763  40   1   0
PhoenixSuns          51   31 19805 2944 6757  332 1054 1490 1973  970 3499 1905  775 1208  429 1863  7710  33   4   1
PortlandTrailBlazers 50   32 19780 3004 6417  369 1057 1447 1899  960 3441 1963  672 1211  419 1745  7824  89  17   6
SacramentoKings      55   27 20080 3132 6969  479 1353 1600 2075  987 3692 1852  793 1178  432 1596  8343  41   3   4
SanAntonioSpurs      58   24 19830 2884 6262  445 1094 1673 2340  902 3614 1778  568 1099  576 1551  7886  16   2   4
SeattleSupersonics   44   38 19805 3029 6649  466 1169 1454 1986  999 3421 1792  657 1201  409 1733  7978  50   3   1
TorontoRaptors       47   35 19955 3048 6972  429 1164 1482 1984 1118 3647 2004  599 1043  519 1745  8007  51   4   4
UtahJazz             53   29 19780 2960 6289  325  852 1714 2280  943 3326 2110  661 1250  463 2107  7959  53   3   7
VancouverGrizzlies   23   59 19780 2870 6539  325  947 1457 1892  894 3325 1899  586 1237  359 1733  7522  26   1   1
WashingtonWizards    19   63 19680 2833 6453  275  848 1704 2245 1016 3386 1647  630 1321  383 1913  7645  28   2   2
