team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         31   19 12075 1539 3760  197  644 1040 1422  676 2175  782  346  706  260  987  4315  16   2   2
BostonCeltics        19   31 12150 1816 4164  273  758  745 1077  680 2138 1073  453  777  255 1193  4650  20   0   1
CharlotteHornets     26   24 12150 1671 3718  268  735 1034 1384  480 1973 1110  443  760  247 1101  4644  18   2   4
ChicagoBulls         13   37 12075 1539 3837  177  612  840 1185  573 1967 1017  436  730  169 1112  4095  23   1   4
ClevelandCavaliers   22   28 12050 1562 3561  182  534 1016 1356  472 1788 1093  452  738  203 1208  4322  16   1   0
DallasMavericks      19   31 12075 1749 4033  202  595  881 1210  645 2123  921  352  651  292 1065  4581  14   1   1
DenverNuggets        14   36 12025 1681 3989  302  922 1010 1325  647 2039  969  376  713  275 1144  4674  25   5   3
DetroitPistons       29   21 12050 1660 3716  248  679  950 1283  605 2017 1009  444  738  208 1139  4518  16   2   3
GSWarriors           21   29 12125 1730 4173  162  565  794 1175  816 2375 1037  414  729  221 1270  4416  21   1   5
HoustonRockets       31   19 12075 1755 3798  336  914  865 1187  536 2075 1058  386  770  260  960  4711  25   3   2
IndianaPacers        33   17 12100 1731 3866  294  799  977 1228  574 2026 1005  316  609  223 1082  4733  23   4   4
LAClippers            9   41 12125 1711 4007  214  668  883 1225  665 1958  820  424  760  236 1223  4519  13   1   0
LALakers             31   19 12050 1841 3935  241  685 1027 1503  619 2101 1095  389  741  287 1231  4950  25   3   4
MiamiHeat            33   17 12025 1616 3565  289  804  928 1262  503 2015 1019  327  707  304 1035  4449  16   2   2
MilwaukeeBucks       28   22 12050 1753 3818  231  619  847 1155  570 1939 1030  442  693  202 1142  4584  14   1   5
MinnesotaT-wolves    25   25 12025 1838 4327  122  410  849 1143  754 2146 1218  426  629  272 1185  4647  11   0   3
NJNets               16   34 12050 1691 4160  225  679  962 1251  715 2152  923  491  710  273 1134  4569  16   2   2
NYKnicks             27   23 12100 1610 3704  208  589  892 1218  551 2061  963  395  775  262 1140  4320  22   3   1
OrlandoMagic         33   17 12050 1687 3943  223  675  876 1252  688 2133 1067  496  798  213  935  4473  15   0   2
Philadelphia76ers    28   22 12150 1656 3883   98  371 1073 1486  729 2157  934  542  781  271 1152  4483  18   1   2
PhoenixSuns          27   23 12050 1797 4004  261  702  924 1215  598 2016 1249  444  653  200 1022  4779  27   3   0
PortlandTrailBlazers 35   15 12175 1747 3956  246  675 1002 1349  646 2216 1073  411  744  290 1126  4742  33   3   4
SacramentoKings      27   23 12200 1918 4307  290  943  883 1293  706 2279 1129  444  824  232 1016  5009  29   1   0
SanAntonioSpurs      37   13 12075 1740 3812  172  521  988 1415  614 2198 1101  421  717  351 1010  4640  15   3   1
SeattleSupersonics   25   25 12100 1756 3976  309  899  922 1354  676 2098 1087  393  721  201 1047  4743  42   2   2
TorontoRaptors       23   27 12075 1660 3940  226  662 1011 1330  712 2159 1036  439  767  321 1139  4557  25   3   8
UtahJazz             37   13 12175 1684 3620  140  388 1158 1510  555 2063 1204  398  786  276 1133  4666  28   4   5
VancouverGrizzlies    8   42 12175 1643 3838  148  453 1009 1408  650 2009  964  420  807  199 1123  4443  19   1   5
WashingtonWizards    18   32 12050 1768 3969  179  580  845 1198  595 1998 1064  393  708  193 1151  4560   9   1   2
