team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         44   38 19870 3084 6644  706 1901 1158 1619  758 3351 2007  664 1169  369 1473  8032  29   0   0
BostonCeltics        41   40 19845 3001 6459  498 1390 1318 1698  654 3187 1843  668 1125  365 1717  7818  23   0   0
CharlotteBobcats     21   61 19817 2823 6649  469 1399 1546 2060  917 3300 1587  591 1074  479 1562  7661  21   0   0
ChicagoBulls         45   37 19847 2926 6698  446 1265 1343 1738 1026 3539 1886  588 1120  417 1617  7641  42   0   0
ClevelandCavaliers   24   58 19730 2993 6901  547 1581 1380 1827 1004 3362 1694  647 1099  334 1737  7913  16   0   0
DallasMavericks      41   41 20001 3182 6892  606 1628 1323 1669  767 3434 1906  651 1107  450 1698  8293  32   0   0
DenverNuggets        57   25 19930 3339 6983  521 1518 1505 2148 1092 3693 2002  763 1205  533 1682  8704  19   0   0
DetroitPistons       29   53 19817 2979 6638  513 1440 1307 1870  990 3453 1742  574 1194  400 1623  7778  16   0   0
GSWarriors           47   35 19849 3130 6840  658 1631 1378 1744  884 3685 1845  568 1209  345 1753  8296  20   0   0
HoustonRockets       45   37 19778 3124 6782  867 2369 1573 2087  911 3562 1902  678 1298  359 1662  8688  12   0   0
IndianaPacers        49   32 19601 2845 6525  555 1599 1429 1915 1042 3713 1645  580 1177  515 1623  7674  45   0   0
LAClippers           56   26 19731 3160 6609  627 1752 1342 1888  939 3413 1958  784 1132  460 1716  8289  66   0   0
LALakers             45   37 19759 3041 6639  715 2015 1584 2289  941 3673 1818  576 1201  429 1467  8381  42   0   0
MemphisGrizzlies     56   26 19802 2964 6677  382 1108 1349 1746 1058 3504 1715  702 1081  437 1660  7659  31   0   0
MiamiHeat            66   16 19884 3148 6348  717 1809 1423 1887  676 3166 1890  710 1088  441 1533  8436  26   0   0
MilwaukeeBucks       38   44 19836 3128 7197  601 1671 1251 1700 1068 3605 1876  685 1117  549 1554  8108  31   0   0
MinnesotaT-wolves    31   51 19743 2943 6702  450 1476 1515 2042  972 3447 1835  700 1159  389 1509  7851  30   0   0
BrooklynNets         49   33 19878 2942 6546  628 1760 1432 1958 1048 3508 1668  599 1140  391 1500  7944  23   0   0
NOrleansHornets      27   55 19801 2955 6589  535 1474 1269 1636  988 3414 1721  520 1123  440 1673  7714  10   0   0
NYKnicks             54   28 19745 2996 6688  891 2370 1313 1729  890 3325 1579  672  948  294 1649  8196  52   0   0
OrlandoMagic         20   62 19785 3093 6903  506 1536 1026 1359  889 3501 1871  528 1147  358 1591  7718  22   0   0
Philadelphia76ers    34   48 19774 3059 6896  518 1438 1004 1377  897 3391 1867  608 1029  383 1505  7640  20   0   0
PhoenixSuns          25   57 19820 3061 6916  480 1455 1203 1618  959 3413 1855  659 1226  434 1688  7805  45   0   0
PortlandTrailBlazers 33   49 19848 3009 6715  673 1904 1304 1680  874 3348 1784  538 1165  353 1518  7995  16   0   0
SacramentoKings      28   54 19845 3086 6905  610 1682 1437 1869  944 3329 1708  670 1153  342 1717  8219  41   0   0
SanAntonioSpurs      58   24 19894 3210 6675  663 1766 1365 1725  667 3387 2058  695 1159  445 1427  8448  15   0   0
OklahomaCityThunder  60   22 19849 3126 6504  598 1588 1819 2196  854 3578 1753  679 1200  624 1654  8669  63   0   0
TorontoRaptors       34   48 19984 2979 6685  571 1665 1442 1831  871 3297 1765  595 1084  392 1836  7971  36   0   0
UtahJazz             43   39 19883 3047 6710  507 1385 1439 1883  989 3446 1860  690 1165  514 1750  8040  25   0   0
WashingtonWizards    29   53 19876 2910 6693  545 1495 1279 1746  887 3539 1775  598 1199  376 1681  7644  22   0   0
