team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         40   26 16158 2429 5349  492 1330 1025 1385  653 2718 1481  536  875  302 1178  6375  25   0   0
BostonCeltics        39   27 15948 2341 5086  363  988 1017 1308  510 2560 1557  498  929  361 1315  6062  34   0   0
CharlotteBobcats      7   59 15894 2193 5293  263  892 1090 1462  677 2571 1326  397  898  361 1249  5739  25   0   0
ChicagoBulls         50   16 15953 2467 5461  419 1118 1006 1394  914 3079 1527  456  887  388 1139  6359  16   0   0
ClevelandCavaliers   21   45 15966 2261 5360  440 1273 1178 1645  841 2790 1308  466  965  261 1317  6140   3   0   0
DallasMavericks      36   30 15834 2398 5412  497 1464 1029 1334  665 2822 1380  566  893  336 1211  6322  25   0   0
DenverNuggets        38   28 16040 2572 5404  435 1311 1293 1760  738 2841 1581  540  986  330 1297  6872  19   0   0
DetroitPistons       25   41 15991 2291 5232  317  916 1098 1461  775 2657 1232  460  965  278 1293  5997  19   0   0
GSWarriors           23   43 15935 2489 5443  524 1351  951 1235  640 2585 1469  529  887  360 1410  6453  14   0   0
HoustonRockets       34   32 16078 2489 5543  478 1330 1018 1301  770 2783 1404  497  913  318 1347  6474  12   0   0
IndianaPacers        42   24 15996 2354 5373  392 1064 1349 1724  825 2895 1228  524  875  357 1430  6449  25   0   0
LAClippers           40   26 15961 2439 5366  514 1441 1046 1538  800 2743 1385  556  815  316 1399  6438  51   0   0
LALakers             41   25 16073 2429 5319  362 1113 1202 1589  799 3050 1485  390  960  351 1109  6422  40   0   0
MemphisGrizzlies     41   25 15955 2425 5421  277  849 1142 1504  831 2774 1290  631  920  345 1316  6269  22   0   0
MiamiHeat            46   20 16048 2446 5212  370 1030 1238 1598  686 2745 1317  586  971  355 1282  6500  18   0   0
MilwaukeeBucks       31   35 15886 2502 5652  436 1265 1095 1415  820 2803 1549  548  903  335 1273  6535  28   0   0
MinnesotaT-wolves    26   40 15966 2355 5434  473 1423 1281 1662  798 2887 1290  436  970  293 1212  6464  12   0   0
NJNets               22   44 15901 2262 5318  507 1481 1113 1433  782 2661 1311  493  944  260 1268  6144  19   0   0
NOrleansHornets      21   45 15945 2300 5101  259  777 1057 1397  724 2715 1368  488  966  317 1324  5916  18   0   0
NYKnicks             36   30 15944 2365 5335  517 1538 1211 1634  743 2755 1328  622 1009  276 1391  6458  39   0   0
OrlandoMagic         37   29 15973 2275 5162  670 1785  995 1508  742 2802 1321  452  930  274 1168  6215  37   0   0
Philadelphia76ers    35   31 15928 2471 5516  349  963  889 1198  704 2848 1453  526  707  340 1157  6180   9   0   0
PhoenixSuns          33   33 15841 2495 5445  444 1295 1058 1397  718 2751 1486  432  892  364 1233  6492  31   0   0
PortlandTrailBlazers 28   38 15973 2402 5417  478 1382 1133 1423  735 2684 1349  528  911  322 1251  6415  23   0   0
SacramentoKings      22   44 15913 2490 5710  411 1300 1127 1532  883 2830 1271  560  915  323 1287  6518  27   0   0
SanAntonioSpurs      50   16 15954 2611 5463  552 1405 1067 1427  683 2836 1528  490  871  293 1143  6841   7   0   0
OklahomaCityThunder  47   19 15997 2462 5229  472 1317 1406 1744  726 2883 1224  498 1054  539 1352  6802  46   0   0
TorontoRaptors       23   43 15962 2268 5154  365 1076 1085 1410  697 2771 1382  429  957  319 1532  5986  21   0   0
UtahJazz             36   30 16177 2523 5531  273  845 1258 1668  861 2916 1439  545  896  385 1441  6577  17   0   0
WashingtonWizards    20   46 15864 2414 5474  344 1075 1008 1386  774 2749 1262  527  961  417 1405  6180  23   0   0
