team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         38   44 19857 3061 6688  768 2116 1392 1782  713 3278 2041  679 1189  326 1577  8282  10   0   0
BostonCeltics        25   57 19730 2996 6881  575 1730 1325 1706  980 3485 1726  584 1183  344 1743  7892  16   0   0
CharlotteBobcats     43   39 19915 2976 6730  516 1471 1474 2000  776 3500 1778  499  954  421 1493  7942  16   0   0
ChicagoBulls         48   34 19957 2843 6577  508 1459 1486 1908  937 3621 1860  594 1148  423 1565  7680  38   0   0
ClevelandCavaliers   33   49 19947 3036 6954  584 1638 1398 1861  988 3617 1739  579 1105  304 1640  8054  13   0   0
DallasMavericks      49   33 19855 3249 6858  721 1877 1378 1733  840 3354 1935  704 1082  356 1636  8597  22   0   0
DenverNuggets        36   46 19766 3147 7041  702 1959 1563 2154 1008 3725 1839  615 1260  459 1890  8559  29   0   0
DetroitPistons       29   53 19780 3182 7124  507 1580 1415 2111 1196 3721 1714  687 1143  395 1666  8286  48   0   0
GSWarriors           51   31 19837 3236 7002  774 2037 1303 1731  895 3713 1913  642 1226  406 1784  8549  30   0   0
HoustonRockets       54   28 19840 3118 6604  779 2180 1814 2549  921 3718 1755  621 1265  461 1676  8829  28   0   0
IndianaPacers        56   26 19789 2949 6574  550 1542 1485 1907  835 3665 1651  550 1184  446 1675  7933  43   0   0
LAClippers           57   25 19760 3208 6758  693 1964 1740 2382  858 3525 2015  702 1092  397 1767  8849  50   0   0
LALakers             27   55 19728 3139 6980  774 2032 1390 1835  745 3365 2006  611 1213  447 1627  8442  16   0   0
MemphisGrizzlies     50   32 19826 3122 6723  405 1147 1235 1666  950 3475 1792  631 1060  375 1568  7884  17   0   0
MiamiHeat            54   28 19894 3142 6271  665 1829 1431 1884  626 3023 1847  732 1166  367 1596  8380  22   0   0
MilwaukeeBucks       15   67 19892 2952 6737  548 1553 1377 1843  972 3371 1760  541 1173  402 1713  7829  32   0   0
MinnesotaT-wolves    40   42 19862 3189 7176  600 1759 1790 2301 1025 3669 1964  718 1105  296 1504  8768  17   0   0
BrooklynNets         44   38 19892 2931 6391  709 1922 1508 2002  721 3127 1714  706 1144  310 1777  8079  26   0   0
NOrleansPelicans     34   48 19852 3100 6759  486 1303 1488 1932  932 3415 1744  648 1065  522 1855  8174  19   0   0
NYKnicks             37   45 19876 3027 6739  759 2038 1271 1670  870 3307 1642  631 1017  366 1815  8084  42   0   0
OrlandoMagic         23   59 19959 3022 6784  563 1596 1307 1714  794 3448 1726  630 1165  350 1678  7914  18   0   0
Philadelphia76ers    19   63 19857 3108 7149  577 1847 1362 1918  949 3505 1791  765 1349  330 1844  8155  24   0   0
PhoenixSuns          48   34 19763 3172 6845  765 2056 1520 2004  928 3529 1563  688 1216  374 1798  8629  49   0   0
PortlandTrailBlazers 54   28 19865 3207 7133  770 2071 1569 1926 1021 3806 1904  456 1094  388 1576  8753  28   0   0
SacramentoKings      28   54 19827 3026 6765  491 1475 1698 2237  989 3645 1547  587 1203  318 1849  8241  48   0   0
SanAntonioSpurs      62   20 19776 3326 6844  698 1757 1289 1642  762 3548 2064  604 1153  420 1495  8639  10   0   0
OklahomaCityThunder  59   23 19822 3194 6782  664 1839 1653 2052  887 3668 1795  678 1217  501 1858  8705  53   0   0
TorontoRaptors       48   34 19972 2992 6718  713 1917 1608 2055  934 3485 1737  577 1099  343 1882  8305  37   0   0
UtahJazz             25   57 19780 2951 6652  543 1577 1346 1803  904 3381 1664  570 1145  366 1699  7791   4   0   0
WashingtonWizards    44   38 20078 3177 6919  647 1705 1253 1715  886 3459 1909  668 1155  377 1675  8254  14   0   0
