team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         28   54 19830 3000 6807  258  814 1477 1987 1146 3716 1548  500 1219  461 1718  7735  30   2   3
BostonCeltics        35   47 19730 3054 6880  417 1260 1621 2175 1108 3528 1741  795 1221  286 2223  8146  48   4   7
CharlotteHornets     49   33 19780 2935 6533  339 1001 1863 2458  884 3519 2023  732 1160  480 1670  8072  38   2   6
ChicagoBulls         17   65 19804 2565 6180  340 1032 1482 2089 1032 3355 1644  646 1438  383 1908  6952  18   1   9
ClevelandCavaliers   32   50 19855 2977 6734  343  919 1653 2205 1010 3509 1942  715 1382  363 2219  7950  46   6   8
DallasMavericks      40   42 19730 3195 7047  519 1326 1407 1751  931 3375 1810  592 1081  416 1770  8316  40   8   1
DenverNuggets        35   47 19855 3057 6911  470 1397 1531 2116 1073 3663 1911  554 1235  618 1962  8115  31   4   6
DetroitPistons       42   40 19830 3044 6635  439 1223 1956 2506  917 3375 1707  665 1250  273 2011  8483  25   4   4
GSWarriors           19   63 19756 2996 7140  345 1069 1497 2147 1300 3738 1851  731 1255  356 2043  7834  34   5  11
HoustonRockets       34   48 19830 3001 6664  581 1625 1573 2145 1008 3594 1774  613 1358  438 1663  8156  40   8   7
IndianaPacers        56   26 19730 3047 6640  583 1487 1629 2008  842 3454 1857  559 1113  422 1786  8306  31   4   8
LAClippers           15   67 19705 2877 6757  429 1267 1363 1826  955 3332 1479  578 1265  494 1821  7546  31   4   1
LALakers             67   15 19805 3137 6836  344 1047 1649 2368 1117 3855 1921  613 1106  534 1841  8267  27   4   5
MiamiHeat            52   30 19830 2974 6462  446 1202 1345 1827  921 3540 1931  582 1182  524 1947  7739  19   1  14
MilwaukeeBucks       42   40 19855 3173 6826  394 1069 1558 1982 1016 3389 1852  671 1183  381 2020  8298  42   3   2
MinnesotaT-wolves    50   32 19905 3226 6910  248  716 1379 1769 1016 3487 2205  622 1107  444 1913  8079  22   1   1
NJNets               31   51 19830 2979 6881  477 1374 1601 2041 1040 3355 1688  720 1051  393 1913  8036  20   1   1
NYKnicks             50   32 19830 2897 6374  351  937 1410 1805  802 3323 1588  515 1157  349 1983  7555  31   3   5
OrlandoMagic         41   41 19757 3169 7014  294  870 1574 2142 1145 3685 1709  743 1417  467 1967  8206  18   1   1
Philadelphia76ers    49   33 19830 2993 6776  208  643 1577 2226 1147 3615 1817  791 1251  386 1939  7771  33   1   2
PhoenixSuns          53   29 19805 3093 6771  458 1246 1467 1934 1022 3580 2098  744 1331  433 1973  8111  30   3   1
PortlandTrailBlazers 59   23 19780 3021 6430  407 1128 1542 2029  966 3526 1925  633 1195  396 1865  7991  68   7   6
SacramentoKings      44   38 19804 3276 7289  534 1656 1521 2016 1057 3692 1953  787 1296  381 1729  8607  65   5   2
SanAntonioSpurs      53   29 19855 2952 6393  330  882 1652 2214  927 3593 1819  614 1183  551 1716  7886  29   3   1
SeattleSupersonics   45   37 19780 3108 6946  546 1611 1363 1960 1042 3525 1878  657 1116  345 1776  8125  37   4   7
TorontoRaptors       45   37 19755 2980 6882  425 1171 1583 2068 1098 3547 1947  666 1085  544 1989  7968  45   2   8
UtahJazz             55   27 19755 2962 6380  329  854 1661 2150  936 3362 2041  629 1160  446 2013  7914  37   2   3
VancouverGrizzlies   22   60 19855 2892 6441  324  898 1594 2060 1005 3329 1700  608 1308  346 1881  7702  32   1   2
WashingtonWizards    29   53 19805 3010 6681  335  890 1566 2107 1064 3502 1771  593 1267  383 2149  7921  23   3   7
