team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         47   35 19718 2956 6452  597 1633 1537 2085  871 3283 1657  603 1000  375 1611  8046  28   0   0
BostonCeltics        62   20 19858 3075 6332  538 1355 1587 2075  869 3455 1862  621 1230  387 1897  8275  46   0   0
CharlotteBobcats     35   47 19909 2866 6299  490 1339 1455 1965  886 3252 1742  580 1221  398 1754  7677  22   0   0
ChicagoBulls         41   41 19944 3126 6846  493 1293 1633 2052  970 3451 1732  615 1137  452 1709  8378  29   0   0
ClevelandCavaliers   66   16 19780 3022 6453  656 1670 1523 2012  886 3460 1663  593  983  434 1663  8223  37   0   0
DallasMavericks      50   32 19812 3128 6770  571 1632 1516 1852  909 3504 1779  591 1001  429 1600  8343  19   0   0
DenverNuggets        54   28 19734 3058 6510  548 1476 1891 2487  905 3412 1820  710 1225  492 1875  8555  62   0   0
DetroitPistons       39   43 19903 2981 6558  377 1079 1388 1849  949 3397 1689  493  922  378 1712  7727  40   0   0
GSWarriors           29   53 19863 3231 7055  550 1475 1893 2392  953 3445 1711  638 1166  527 1842  8905  37   0   0
HoustonRockets       53   29 19788 2959 6525  621 1656 1531 1902  861 3523 1662  548 1094  355 1553  8070  20   0   0
IndianaPacers        36   46 19822 3220 7080  652 1727 1525 1890  924 3585 1775  572 1145  434 1895  8617  21   0   0
LAClippers           19   63 19879 2955 6696  535 1513 1354 1839  890 3267 1723  572 1165  482 1650  7799  21   0   0
LALakers             65   17 19775 3307 6981  547 1516 1607 2087 1015 3601 1908  719 1076  420 1698  8768  41   0   0
MemphisGrizzlies     24   58 19772 2865 6310  398 1106 1570 2077  846 3183 1424  615 1164  384 1777  7698  15   0   0
MiamiHeat            43   39 19954 3034 6646  582 1631 1411 1871  828 3238 1671  652  979  449 1696  8061  27   0   0
MilwaukeeBucks       34   48 19775 3009 6755  511 1408 1613 2067  973 3340 1802  609 1117  309 1986  8142  13   0   0
MinnesotaT-wolves    24   58 19806 2986 6764  543 1538 1504 1957  974 3416 1674  512 1106  322 1785  8019  17   0   0
NJNets               34   48 19809 2925 6535  652 1735 1542 1980  850 3264 1636  559 1015  391 1838  8044  14   0   0
NOrleansHornets      49   33 19762 2911 6366  556 1527 1479 1833  802 3255 1610  593  960  337 1665  7857  44   0   0
NYKnicks             32   50 19808 3157 7090  823 2283 1490 1900  910 3455 1738  610 1140  202 1672  8627  34   0   0
OrlandoMagic         59   23 19719 2929 6417  817 2147 1611 2253  820 3548 1593  570 1107  437 1664  8286  33   0   0
Philadelphia76ers    41   41 19729 2997 6531  341 1072 1652 2216 1038 3374 1647  658 1107  416 1650  7987  16   0   0
PhoenixSuns          46   36 19729 3373 6694  553 1445 1675 2251  900 3420 1905  589 1264  419 1691  8974  45   0   0
PortlandTrailBlazers 54   28 19806 3018 6494  596 1556 1521 1988 1060 3419 1667  550  993  402 1671  8153  22   0   0
SacramentoKings      17   65 19911 2990 6685  586 1594 1682 2107  840 3206 1619  569 1213  349 1910  8248  33   0   0
SanAntonioSpurs      54   28 19923 3042 6534  625 1620 1249 1641  728 3366 1736  474  912  330 1546  7958  13   0   0
OklahomaCityThunder  23   59 19796 2999 6714  328  948 1626 2069 1000 3497 1663  608 1274  373 1655  7952   9   0   0
TorontoRaptors       33   49 19826 3054 6671  479 1290 1534 1861  800 3312 1835  524 1053  391 1593  8121  27   0   0
UtahJazz             48   34 19884 3143 6621  392 1122 1814 2352  939 3361 2024  720 1170  373 1830  8492  21   0   0
WashingtonWizards    19   63 19694 2994 6655  395 1198 1494 1948  956 3286 1642  619 1108  365 1679  7877  12   0   0
