team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         12   13 5993  963 2116  212  651  402  563  259 1102  602  225  410  133  435  2540  13   0   0
BostonCeltics        13   11 5758  928 2071  268  748  383  488  230 1015  596  172  281  111  504  2507  11   0   0
CharlotteHornets     14   11 6069  932 2138  241  688  502  667  221 1153  583  159  284  124  420  2607   0   0   0
ChicagoBulls         13   11 5762  916 2081  144  469  487  603  321 1157  495  187  307  135  420  2463   8   0   0
ClevelandCavaliers   18    5 5517  904 1944  310  775  437  572  232 1023  521  158  312  106  419  2555   5   0   0
DallasMavericks       6   18 5799  834 1979  240  717  337  425  216  947  458  183  284   89  464  2245   8   0   0
DenverNuggets         9   16 6072  962 2201  226  645  490  658  335 1227  537  163  403  105  519  2640   5   0   0
DetroitPistons       13   13 6232 1018 2257  190  548  350  465  252 1157  543  186  286  103  456  2576   3   0   0
GSWarriors           22    4 6290 1122 2266  313  822  506  642  244 1153  806  245  378  170  527  3063  16   0   0
HoustonRockets       18    7 6052 1006 2155  354  936  435  585  291 1115  621  198  385  115  508  2801   8   0   0
IndianaPacers        13   12 6098  985 2152  211  569  448  557  222 1054  559  226  356  148  495  2629   4   0   0
LAClippers           18    7 6049  983 2109  255  670  523  685  247 1095  565  221  307  121  521  2744  14   0   0
LALakers             10   17 6471 1049 2348  232  669  497  639  318 1192  560  230  426   91  559  2827   7   0   0
MemphisGrizzlies     17    9 6386  918 2187  212  649  489  626  270 1140  518  224  347  140  618  2537   6   0   0
MiamiHeat             8   17 6028  932 2157  208  625  364  541  300 1111  507  177  305  140  504  2436  11   0   0
MilwaukeeBucks       11   12 5545  899 1948  196  571  398  515  226 1014  549  193  327  127  482  2392   5   0   0
MinnesotaT-wolves     7   18 6016  951 2107  201  584  490  633  304 1068  542  183  350  116  529  2593   3   0   0
BrooklynNets          6   17 5573  873 1988  252  770  451  579  217 1011  478  182  382   99  467  2449   6   0   0
NOrleansPelicans      8   18 6391  992 2256  217  664  471  612  217 1150  593  207  327  163  496  2672   4   0   0
NYKnicks             14   11 6052  994 2231  229  639  409  523  300 1145  554  184  336  144  541  2626  15   0   0
OrlandoMagic         11   15 6232  944 2193  224  661  389  547  249 1116  562  169  318  148  466  2501   8   0   0
Philadelphia76ers     6   18 5855  876 2021  260  720  330  456  213 1041  544  191  394  142  522  2342   6   0   0
PhoenixSuns           8   17 6122  986 2232  204  614  501  655  289 1154  462  218  386  109  644  2677  21   0   0
PortlandTrailBlazers 13   14 6551 1080 2359  297  805  507  636  260 1150  602  188  351  136  614  2964  10   0   0
SacramentoKings       9   15 5842  906 2025  198  573  457  592  236 1009  527  204  331   99  493  2467  13   0   0
SanAntonioSpurs      19    5 5755  910 1965  217  542  445  544  217 1008  560  196  292  138  433  2482   2   0   0
OklahomaCityThunder  15   10 6097 1002 2196  213  649  439  617  275 1155  551  198  385  131  509  2656  12   0   0
TorontoRaptors       17    7 5784  968 2031  234  582  505  617  262 1027  490  212  272  106  512  2675   9   0   0
UtahJazz             15   10 5997  910 1961  242  669  450  576  208 1067  481  160  310  134  487  2512   2   0   0
WashingtonWizards     9   14 5601  912 2008  179  506  386  498  249  969  496  209  315   90  505  2389  15   0   0
