team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         26   56 19886 2946 6496  424 1154 1656 2207 1069 3301 1625  587 1235  394 2053  7972  19   0   0
BostonCeltics        33   49 19906 2951 6322  467 1290 1664 2204  813 3245 1716  578 1301  422 2033  8033  13   0   0
CharlotteBobcats     26   56 19917 2961 6843  428 1261 1593 2186  990 3260 1717  822 1115  354 1960  7943  27   0   0
ChicagoBulls         41   41 19910 3004 6737  560 1477 1452 1967  906 3508 1804  508 1197  345 2038  8020  27   0   0
ClevelandCavaliers   50   32 19845 2908 6412  497 1465 1689 2318  959 3470 1562  567 1099  392 1733  8002  24   0   0
DallasMavericks      60   22 19880 2948 6375  416 1113 1818 2322 1030 3461 1473  593 1055  488 1834  8130  24   0   0
DenverNuggets        44   38 19940 3078 6672  350 1076 1721 2313  903 3389 1921  698 1180  463 1863  8227  52   0   0
DetroitPistons       64   18 19828 2983 6558  557 1451 1418 1950  975 3322 1969  580  882  491 1513  7941  49   0   0
GSWarriors           34   48 19845 2939 6785  625 1832 1573 2190  981 3465 1694  604 1117  357 1941  8076  22   0   0
HoustonRockets       34   48 19846 2708 6252  469 1414 1502 1979  849 3414 1580  588 1121  320 1863  7387  32   0   0
IndianaPacers        41   41 19741 2786 6274  536 1536 1591 2158  898 3457 1631  598 1204  409 1821  7699  43   0   0
LAClippers           47   35 19823 2993 6442  290  842 1694 2142  828 3531 1708  534 1130  503 1871  7970  17   0   0
LALakers             45   37 19858 2992 6607  552 1583 1618 2172  970 3458 1734  628 1096  350 1894  8154  45   0   0
MemphisGrizzlies     49   33 19869 2746 6125  590 1578 1476 2077  834 3213 1586  600 1056  442 1757  7558  13   0   0
MiamiHeat            52   30 19770 3039 6355  497 1441 1616 2311  858 3533 1692  522 1139  439 1871  8191  43   0   0
MilwaukeeBucks       40   42 19853 2976 6566  507 1335 1561 2115  929 3377 1769  597 1151  270 1902  8020  24   0   0
MinnesotaT-wolves    33   49 19875 2888 6340  310  942 1436 1895  811 3233 1716  559 1126  471 1890  7522  25   0   0
NJNets               49   33 19783 2778 6317  477 1447 1658 2187  822 3361 1884  558 1065  278 1903  7691  20   0   0
NOrleansHornets      38   44 19819 2831 6428  300  888 1649 2176  918 3297 1519  611 1026  310 1786  7611  35   0   0
NYKnicks             23   59 19936 2822 6206  320  884 1878 2587 1034 3394 1468  555 1397  271 2157  7842  45   0   0
OrlandoMagic         36   46 19929 2911 6167  299  796 1663 2277  892 3294 1495  531 1183  362 1908  7784  31   0   0
Philadelphia76ers    38   44 19922 3001 6546  375 1031 1770 2330  873 3298 1653  651 1112  404 1712  8147  25   0   0
PhoenixSuns          54   28 19962 3430 7166  837 2096 1189 1475  778 3427 2179  549 1049  410 1684  8886  14   0   0
PortlandTrailBlazers 21   61 19741 2791 6267  364 1042 1339 1944  886 3090 1490  529 1123  434 1828  7285  21   0   0
SacramentoKings      44   38 19827 2954 6500  494 1408 1704 2173  852 3325 1825  608 1146  299 1672  8106  38   0   0
SanAntonioSpurs      63   19 19821 2993 6342  524 1362 1327 1891  851 3399 1717  543 1087  467 1714  7837  23   0   0
SeattleSupersonics   35   47 19841 3077 6711  605 1631 1652 2104 1013 3246 1696  622 1150  306 1933  8411  21   0   0
TorontoRaptors       27   55 19965 3013 6639  608 1620 1653 2089  864 3155 1593  529 1023  272 1965  8287  24   0   0
UtahJazz             41   41 19888 2744 6207  311  925 1774 2466 1071 3451 1772  524 1211  492 2032  7573  16   0   0
WashingtonWizards    42   40 19832 2975 6656  497 1394 1889 2496 1035 3379 1523  658 1100  339 1855  8336  14   0   0
