team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         50   32 19880 2887 6352  337 1016 1749 2312 1107 3523 1569  648 1158  489 1671  7860  48   1   4
BostonCeltics        36   46 19730 3012 6924  415 1249 1425 1964 1196 3240 1811  987 1276  366 2203  7864  24   2   3
CharlotteHornets     51   31 19780 2968 6344  346  904 1641 2186  985 3326 1944  692 1194  311 1759  7923  43   2   3
ChicagoBulls         62   20 19855 3064 6801  311  962 1492 2009 1243 3681 1952  695 1091  353 1691  7931  40   1   6
ClevelandCavaliers   47   35 19830 2817 6207  298  801 1653 2187  954 3285 1894  814 1361  419 1935  7585  37   3   3
DallasMavericks      20   62 19905 2882 6755  422 1183 1308 1740 1007 3288 1535  646 1110  460 1643  7494  19   0   4
DenverNuggets        11   71 19730 2677 6412  288  893 1658 2147 1040 3197 1552  664 1214  391 1932  7300  20   2   8
DetroitPistons       37   45 19955 2862 6373  293  938 1704 2288 1045 3382 1597  678 1135  344 1805  7721  20   2   2
GSWarriors           19   63 19830 2845 6885  189  696 1358 1912 1288 3763 1706  620 1312  447 1859  7237   9   1   5
HoustonRockets       41   41 19830 2946 6513  573 1670 1634 2120  987 3337 1799  686 1253  294 1653  8099  59   8   6
IndianaPacers        58   24 19830 2921 6223  401 1029 1631 2136  874 3222 1878  645 1106  368 1859  7874  27   3   4
LAClippers           17   65 19780 2930 6690  525 1468 1480 2047 1039 3316 1525  625 1248  454 1827  7865  33   5   2
LALakers             61   21 19830 3146 6536  497 1418 1863 2741 1079 3550 2009  734 1229  556 1859  8652  28   3   4
MiamiHeat            55   27 19755 2850 6327  548 1547 1539 2082 1023 3442 1759  664 1172  429 1981  7787  38   4   8
MilwaukeeBucks       36   46 19930 2918 6399  249  706 1663 2167 1035 3271 1650  733 1329  355 1915  7748  20   1   5
MinnesotaT-wolves    45   37 19930 3157 6844  303  873 1673 2253 1063 3492 2068  639 1108  427 1882  8290  33   1   7
NJNets               43   39 19880 3055 6928  310  937 1750 2351 1344 3481 1685  777 1121  314 1917  8170  40   2   3
NYKnicks             43   39 19830 2864 6413  382 1139 1399 1813  978 3412 1787  634 1200  278 1947  7509  46   7  12
OrlandoMagic         41   41 19830 2771 6455  293  909 1552 2138 1178 3381 1694  649 1224  440 1617  7387  24   1   3
Philadelphia76ers    31   51 19755 2837 6409  243  810 1734 2352 1126 3420 1729  729 1293  490 1878  7651  36   6   3
PhoenixSuns          56   26 19955 3138 6710  431 1211 1459 1948  991 3443 2123  757 1193  429 1762  8166  27   3   3
PortlandTrailBlazers 46   36 19830 2885 6397  324 1047 1640 2226 1086 3607 1766  585 1332  464 1859  7734  60   6   5
SacramentoKings      27   55 19730 2957 6685  283  806 1440 2095 1093 3398 1836  596 1229  421 1810  7637  16   3   4
SanAntonioSpurs      56   26 19830 2898 6187  302  863 1489 2165  984 3622 1839  517 1265  568 1731  7587  10   2   1
SeattleSupersonics   61   21 19755 3052 6459  621 1571 1521 2109  932 3157 1983  804 1115  374 1812  8246  45   3   4
TorontoRaptors       16   66 19930 2965 6813  372 1086 1479 2060 1187 3336 1746  769 1331  663 1851  7781  22   1   4
UtahJazz             62   20 19780 2993 6113  249  670 2044 2644  962 3367 2070  648 1224  412 1961  8279  50   1   3
VancouverGrizzlies   19   63 19830 3006 6567  325  899 1586 2145 1081 3394 1960  614 1353  349 1809  7923  27   3   0
WashingtonWizards    42   40 19805 3080 6811  320  944 1489 2156 1119 3457 1900  689 1111  379 1839  7969  36   4   6
