team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         13   69 19855 2942 6672  304  973 1417 1994 1100 3435 1614  629 1255  344 2009  7605  29   1   2
BostonCeltics        45   37 19880 3046 6512  437 1252 1775 2323  909 3347 1810  667 1259  422 2000  8304  55   5   5
CharlotteBobcats     18   64 19881 2961 6859  320  881 1487 2096 1083 3418 1794  695 1137  440 1894  7729  34   4   1
NOrleansHornets      18   64 19930 2718 6555  415 1316 1401 1830 1019 3300 1724  550 1142  310 1883  7252  32   2   4
ChicagoBulls         47   35 19830 2849 6592  511 1433 1536 2048 1001 3592 1743  576 1319  369 2028  7745  25   3   4
ClevelandCavaliers   42   40 19855 2990 6686  300  904 1634 2174 1117 3469 1851  654 1071  462 1850  7914  45   2   0
DallasMavericks      58   24 19730 3058 6691  463 1273 1826 2314  990 3520 1610  708 1052  461 1827  8405  36   2   5
DenverNuggets        49   33 19755 3038 6615  320  940 1765 2313  967 3440 1958  750 1183  489 1878  8161  47   7   3
DetroitPistons       54   28 19955 2851 6421  363 1053 1588 2150 1054 3561 1787  576 1071  497 1638  7653  63   4   1
GSWarriors           34   48 19905 3029 7039  624 1774 1412 1955 1069 3505 1811  642 1077  420 1833  8094  26   3   2
HoustonRockets       51   31 19855 2846 6419  553 1521 1551 1986  874 3475 1733  563 1072  378 1807  7796  36   2   1
IndianaPacers        44   38 19905 2668 6169  542 1575 1748 2206  868 3286 1489  615 1098  357 1890  7626  44   3   5
LAClippers           37   45 20030 2924 6368  231  669 1770 2274  980 3435 1901  599 1211  422 1819  7849  17   1   4
LALakers             34   48 19780 2895 6629  644 1813 1661 2137 1028 3539 1672  508 1127  344 1794  8095  40   4   2
MiamiHeat            59   23 19980 3097 6368  475 1260 1658 2466  887 3526 1790  528 1093  474 1814  8327  39   2   0
MilwaukeeBucks       30   52 19780 2964 6580  325  925 1720 2229  985 3390 1720  529 1091  289 1795  7973  26   3   2
MinnesotaT-wolves    44   38 19755 3045 6629  395 1145 1449 1820  947 3527 1918  460 1035  447 1774  7934  28   2   2
NJNets               42   40 19905 2753 6419  435 1203 1555 2039  855 3242 1772  650 1101  308 1985  7496  29   3   2
NYKnicks             33   49 19880 2978 6599  441 1240 1580 2060  965 3358 1665  629 1139  260 1942  7977  30   0   3
OrlandoMagic         36   46 19705 3034 6679  320  916 1772 2335 1038 3582 1583  633 1283  441 1937  8160  57   2   8
Philadelphia76ers    43   39 19855 2946 6736  505 1453 1731 2194  909 3445 1710  756 1243  321 1878  8128  34   2   1
PhoenixSuns          62   20 19780 3351 7018  796 2026 1556 2080  967 3619 1927  572 1101  453 1563  9054  25   2   0
PortlandTrailBlazers 27   55 19730 2896 6422  420 1161 1409 1944  970 3374 1722  583 1241  544 1703  7621  54   6   2
SacramentoKings      50   32 19855 3203 6978  522 1396 1577 2004 1023 3478 2005  674 1037  316 1685  8505  43   3   4
SanAntonioSpurs      59   23 19805 2923 6450  507 1395 1535 2120  987 3476 1771  613 1068  543 1717  7888  15   1   1
SeattleSupersonics   52   30 19755 2883 6498  666 1824 1683 2131 1040 3351 1487  553 1039  338 1944  8115  57   7   4
TorontoRaptors       33   49 19805 2952 6656  648 1681 1626 2101  844 3288 1670  621 1035  317 1876  8178  26   4   2
UtahJazz             26   56 19780 2828 6301  250  762 1719 2272 1047 3290 1826  541 1225  374 2189  7625  40   4   8
MemphisGrizzlies     45   37 19705 2802 6271  531 1486 1526 2024  887 3194 1716  699 1145  476 1910  7661  29   2   3
WashingtonWizards    45   37 19780 2966 6794  514 1498 1795 2476 1133 3507 1563  716 1134  347 1807  8241  25   2   1
